SITE,Transect,Distance from edge (m),Spp,Cover
GV,1,0,SpAl,33
GV,1,1,SpAl,68
GV,1,2,SpAl,78
GV,1,5,SpAl,44
GV,1,10,SpAl,48
GV,1,20,SpAl,78
GV,1,40,SpAl,39
GV,2,0,SpAl,40
GV,2,1,SpAl,39
GV,2,2,SpAl,59
GV,2,5,SpAl,79
GV,2,10,SpAl,0
GV,2,20,SpAl,70
GV,2,40,SpAl,0
GV,3,0,SpAl,83
GV,3,1,SpAl,67
GV,3,2,SpAl,84
GV,3,5,SpAl,68
GV,3,10,SpAl,45
GV,3,20,SpAl,40
GV,3,40,SpAl,45
GV,1,0,JuRo,0
GV,1,1,JuRo,0
GV,1,2,JuRo,0
GV,1,5,JuRo,0
GV,1,10,JuRo,0
GV,1,20,JuRo,0
GV,1,40,JuRo,0
GV,2,0,JuRo,0
GV,2,1,JuRo,0
GV,2,2,JuRo,0
GV,2,5,JuRo,0
GV,2,10,JuRo,0
GV,2,20,JuRo,0
GV,2,40,JuRo,85
GV,3,0,JuRo,0
GV,3,1,JuRo,0
GV,3,2,JuRo,0
GV,3,5,JuRo,0
GV,3,10,JuRo,0
GV,3,20,JuRo,0
GV,3,40,JuRo,0
GV,1,0,DiSpi,0
GV,1,1,DiSpi,0
GV,1,2,DiSpi,0
GV,1,5,DiSpi,0
GV,1,10,DiSpi,0
GV,1,20,DiSpi,0
GV,1,40,DiSpi,0
GV,2,0,DiSpi,0
GV,2,1,DiSpi,0
GV,2,2,DiSpi,0
GV,2,5,DiSpi,0
GV,2,10,DiSpi,78
GV,2,20,DiSpi,0
GV,2,40,DiSpi,0
GV,3,0,DiSpi,0
GV,3,1,DiSpi,0
GV,3,2,DiSpi,0
GV,3,5,DiSpi,0
GV,3,10,DiSpi,0
GV,3,20,DiSpi,0
GV,3,40,DiSpi,0
GV,1,0,SpPat,0
GV,1,1,SpPat,0
GV,1,2,SpPat,0
GV,1,5,SpPat,0
GV,1,10,SpPat,0
GV,1,20,SpPat,0
GV,1,40,SpPat,0
GV,2,0,SpPat,0
GV,2,1,SpPat,0
GV,2,2,SpPat,0
GV,2,5,SpPat,0
GV,2,10,SpPat,5
GV,2,20,SpPat,0
GV,2,40,SpPat,0
GV,3,0,SpPat,0
GV,3,1,SpPat,0
GV,3,2,SpPat,0
GV,3,5,SpPat,0
GV,3,10,SpPat,0
GV,3,20,SpPat,0
GV,3,40,SpPat,0
GV,1,0,BG,65
GV,1,1,BG,30
GV,1,2,BG,20
GV,1,5,BG,55
GV,1,10,BG,50
GV,1,20,BG,20
GV,1,40,BG,60
GV,2,0,BG,60
GV,2,1,BG,60
GV,2,2,BG,40
GV,2,5,BG,20
GV,2,10,BG,15
GV,2,20,BG,25
GV,2,40,BG,5
GV,3,0,BG,15
GV,3,1,BG,30
GV,3,2,BG,15
GV,3,5,BG,30
GV,3,10,BG,50
GV,3,20,BG,50
GV,3,40,BG,40
GV,1,0,Dead,2
GV,1,1,Dead,2
GV,1,2,Dead,2
GV,1,5,Dead,1
GV,1,10,Dead,2
GV,1,20,Dead,2
GV,1,40,Dead,1
GV,2,0,Dead,0
GV,2,1,Dead,1
GV,2,2,Dead,1
GV,2,5,Dead,1
GV,2,10,Dead,2
GV,2,20,Dead,5
GV,2,40,Dead,10
GV,3,0,Dead,2
GV,3,1,Dead,2
GV,3,2,Dead,1
GV,3,5,Dead,2
GV,3,10,Dead,5
GV,3,20,Dead,10
GV,3,40,Dead,15
GV,1,-1,SpAl,0
GV,2,-1,SpAl,0
GV,3,-1,SpAl,0
GV,1,-2,SpAl,0
GV,2,-2,SpAl,0
GV,3,-2,SpAl,0
GV,1,-1,JuRo,0
GV,2,-1,JuRo,0
GV,3,-1,JuRo,0
GV,1,-2,JuRo,0
GV,2,-2,JuRo,0
GV,3,-2,JuRo,0
GV,1,-1,DiSpi,0
GV,2,-1,DiSpi,0
GV,3,-1,DiSpi,0
GV,1,-2,DiSpi,0
GV,2,-2,DiSpi,0
GV,3,-2,DiSpi,0
GV,1,-1,SpPat,0
GV,2,-1,SpPat,0
GV,3,-1,SpPat,0
GV,1,-2,SpPat,0
GV,2,-2,SpPat,0
GV,3,-2,SpPat,0
GV,1,-1,BG,100
GV,2,-1,BG,100
GV,3,-1,BG,100
GV,1,-2,BG,100
GV,2,-2,BG,100
GV,3,-2,BG,100
GV,1,-1,Dead,0
GV,2,-1,Dead,0
GV,3,-1,Dead,0
GV,1,-2,Dead,0
GV,2,-2,Dead,0
GV,3,-2,Dead,0
